Film,Developer,Dilution,ASA/ISO,35mm,120,Sheet,Temp,Notes
Fuji Neopan 400,Fuji Neopan 400,Ilfotec DD-X,1+4,3200,18,18,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions every 2 mins."
Fuji Neopan 400,Fuji Neopan 400,Ilfotec HC,1+31,400,6,6,,20C,
Fuji Neopan 400,Fuji Neopan 400,Ilfotec LC29,1+19,400,6,6,,20C,
Fuji Neopan 400,Fuji Neopan 400,Ilfotec LC29,1+29,400,8,8,,20C,
Fuji Neopan 400,Fuji Neopan 400,Marathon,1+9,100,4.25,4.25,,20C,
Fuji Neopan 400,Fuji Neopan 400,Microdol-X,stock,200,8.5,8.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Microdol-X,stock,400,10,10,,20C,
Fuji Neopan 400,Fuji Neopan 400,Microphen,stock,400,4.5,4.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Microphen,1+1,400,7,7,,20C,
Fuji Neopan 400,Fuji Neopan 400,Microphen,1+1,400,5,5,,24C,
Fuji Neopan 400,Fuji Neopan 400,Microphen,1+3,400,9,9,,20C,
Fuji Neopan 400,Fuji Neopan 400,Microphen,stock,800,5.75,5.75,,20C,
Fuji Neopan 400,Fuji Neopan 400,Microphen,stock,1600,8.5,8.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Microphen,stock,3200,16,16,,20C,
Fuji Neopan 400,Fuji Neopan 400,Mocon,1+64,400,14.25,14.25,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Fuji Neopan 400,Fuji Neopan 400,Neofin Blue,stock,400,20,20,,20C,"Neofin Blue/Red stock is made by mixing the contents of the vial with water to make 500ml; these times are for the older version only (20ml,25ml or 30ml vials). The current version of Neofin Blue is packaged with 50ml vials and does not use the stock solution."
Fuji Neopan 400,Fuji Neopan 400,Neopress HC,1+15,400,3.5,3.5,,20C,For 0.70 gamma
Fuji Neopan 400,Fuji Neopan 400,Neopress HC,1+31,400,5.5,5.5,,20C,For 0.70 gamma
Fuji Neopan 400,Fuji Neopan 400,Neopress HC,1+15,800,3,3,,20C,For 0.55 gamma
Fuji Neopan 400,Fuji Neopan 400,Neopress HC,1+15,1600,4.5,4.5,,20C,For 0.55 gamma
Fuji Neopan 400,Fuji Neopan 400,Nucleol BF200,20+15+965,400,10,10,,20C,
Fuji Neopan 400,Fuji Neopan 400,Nucleol BF200,20+15+965,400,8,8,,24C,
Fuji Neopan 400,Fuji Neopan 400,Ornano Gradual ST20,1+9,400,12,12,,20C,Times shown are for original Ornano formula. New version manufactured by Bellini Foto may benefit from shorter times than those listed.
Fuji Neopan 400,Fuji Neopan 400,Ornano Gradual ST20,1+9,400,9.25,9.25,,24C,Times shown are for original Ornano formula. New version manufactured by Bellini Foto may benefit from shorter times than those listed.
Fuji Neopan 400,Fuji Neopan 400,Ornano Gradual ST20,1+9,800,12,12,,24C,Times shown are for original Ornano formula. New version manufactured by Bellini Foto may benefit from shorter times than those listed.
Fuji Neopan 400,Fuji Neopan 400,Paranol S,1+25,400,8,8,,20C,
Fuji Neopan 400,Fuji Neopan 400,Paranol S,1+50,400,22,22,,20C,
Fuji Neopan 400,Fuji Neopan 400,PC-TEA,1+50,400,10,10,,20C,"Agitation: 15 secs per min for 3 mins, then 1-2 inversions per min."
Fuji Neopan 400,Fuji Neopan 400,Perceptol,stock,250,14,14,,20C,
Fuji Neopan 400,Fuji Neopan 400,Perceptol,stock,400,10,10,,20C,
Fuji Neopan 400,Fuji Neopan 400,Perceptol,1+1,400,14,14,,20C,
Fuji Neopan 400,Fuji Neopan 400,Perceptol,1+3,400,20,20,,20C,
Fuji Neopan 400,Fuji Neopan 400,Perceptol,1+3,400,16,16,,24C,
Fuji Neopan 400,Fuji Neopan 400,Promicrol,1+9,600,12,12,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Promicrol,1+14,600,19,19,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Promicrol,1+9,800,12,12,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Promicrol,1+14,800,19,19,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Pyrocat-HD,1+1+100,200,13,13,,21C,Presoak 3-5 minutes
Fuji Neopan 400,Fuji Neopan 400,Pyrocat-HD,1+1+100,250,14,14,,24C,"Semi-stand development: continuous agitation 30-60 secs, then once every 3 mins"
Fuji Neopan 400,Fuji Neopan 400,Pyrocat-HD,1+1+100,320,13,13,,21C,"Semi-stand development: continuous agitation 30-60 secs, then once every 3 mins"
Fuji Neopan 400,Fuji Neopan 400,Pyrocat-HD,1+1+100,400,15,15,,20C,
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+50,200,8-9,8-9,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+100,200,15,15,,20C,
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+25,250,4.5,4.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+50,250,8-9,8-9,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+100,250,20,20,,20C,
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+100,250,13,13,,24C,
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+25,400,6,6,,20C,
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+50,400,11,11,,20C,
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+25,800,7.5,7.5,,22C,
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+25,1600,10,10,,20C,
Fuji Neopan 400,Fuji Neopan 400,Rodinal,1+60,1600,90,,,20C,"Semi-stand development: continuous agitation 30-60 secs, then 1-3 times during remainder of development"
Fuji Neopan 400,Fuji Neopan 400,Rollei D74,1+9,400,7.5,7.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Rollei D74,1+15,400,10.5,10.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Rollei RLS Low Speed,1+4,200,11,11,,24C,
Fuji Neopan 400,Fuji Neopan 400,Silberra Ascorol,1+29,400,7,7,,20C,
Fuji Neopan 400,Fuji Neopan 400,SPD,stock,400,4.25,4.25,,20C,
Fuji Neopan 400,Fuji Neopan 400,SPD,1+1,400,7,7,,20C,
Fuji Neopan 400,Fuji Neopan 400,SPD,stock,800,5.75,5.75,,20C,
Fuji Neopan 400,Fuji Neopan 400,SPD,stock,1600,9,9,,20C,
Fuji Neopan 400,Fuji Neopan 400,SPD,stock,3200,16,16,,20C,
Fuji Neopan 400,Fuji Neopan 400,Sprint Standard,1+9,400,8.5,8.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Sprint Standard,1+19,400,17,17,,20C,
Fuji Neopan 400,Fuji Neopan 400,Spur HRX,1+13,400,12,12,,20C,
Fuji Neopan 400,Fuji Neopan 400,Spur NHC,1+15,400,10,10,,20C,High Contrast
Fuji Neopan 400,Fuji Neopan 400,Spur NHC,1+12,800,14,14,,20C,Very High Contrast
Fuji Neopan 400,Fuji Neopan 400,Spur SD 2525,1+15,250,7,7,,20C,
Fuji Neopan 400,Fuji Neopan 400,Spur SLD,1+9,320,4,4,,20C,
Fuji Neopan 400,Fuji Neopan 400,Spur SLD,1+9,400,5.5,5.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Spur SLD,1+17,400,12.5,12.5,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Fuji Neopan 400,Fuji Neopan 400,Spur SLD,1+9,640,7.5,7.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Spur SLD,1+11,800,12,12,,24C,"Agitation: continuous first 30 secs, then continuous every alternating minute."
Fuji Neopan 400,Fuji Neopan 400,Studional,1+15,200,4,4,,20C,
Fuji Neopan 400,Fuji Neopan 400,Studional,1+15,320,3,3,,20C,
Fuji Neopan 400,Fuji Neopan 400,Studional,1+15,400,6,6,,20C,
Fuji Neopan 400,Fuji Neopan 400,Studional,1+30,400,10.5,10.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Studional,1+45,400,10,10,,24C,High Contrast
Fuji Neopan 400,Fuji Neopan 400,Suprol,1+19,400,4.75,4.75,,20C,
Fuji Neopan 400,Fuji Neopan 400,Tanol,1+1+100,200,14,14,,20C,"Agitation: continuous first 30 secs, then 1-2 inversions per min."
Fuji Neopan 400,Fuji Neopan 400,Tanol,1+1+100,400,17,17,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax Dev,1+4,400,6,6,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax Dev,1+9,400,15.25,15.25,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax Dev,1+9,640,17,17,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax Dev,1+9,640,11,11,,24C,
Fuji Neopan 400,Fuji Neopan 400,TMax Dev,1+4,800,7.25,7.25,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax Dev,1+9,800,19,19,,20C,"Agitation: continuous first 2 mins, then 15 secs per min."
Fuji Neopan 400,Fuji Neopan 400,TMax Dev,1+4,1600,10,10,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax Dev,1+4,3200,15,15,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax RS,stock,250,5,5,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax RS,stock,400,5.5,5.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax RS,stock,800,6.5,7,,20C,
Fuji Neopan 400,Fuji Neopan 400,TMax RS,stock,1600,9.5,10,,20C,
Fuji Neopan 400,Fuji Neopan 400,Ultrafin,1+10,400,9,9,,20C,
Fuji Neopan 400,Fuji Neopan 400,Ultrafin,1+25,400,14,14,,20C,
Fuji Neopan 400,Fuji Neopan 400,Ultrafine Liquid,1+2,400,7.5,7.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Ultrafine Liquid,1+4,400,9.5,9.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Uncle Mort's,1+9,400,12,12,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,stock,100,7.5,7.5,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+1,100,8.25,8.25,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+2,100,11,11,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+3,100,13.5,13.5,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,XT-3,stock,200,7.5,7.5,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+1,200,8.25,8.25,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+2,200,11,11,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+3,200,13.5,13.5,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,XT-3,stock,400,8.25,8.25,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+1,400,9.75,9.75,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+2,400,12.5,12.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+3,400,15.75,15.75,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,stock,800,9.75,9.75,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+1,800,11.5,11.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+2,800,14.5,14.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+3,800,18.5,18.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,stock,1600,11.5,11.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+1,1600,13.5,13.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+2,1600,17,17,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+3,1600,22.5,22.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,stock,3200,13.5,13.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+1,3200,16.5,16.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+2,3200,20.5,20.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,XT-3,1+3,3200,26,26,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,stock,100,7.5,7.5,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+1,100,8.25,8.25,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+2,100,11,11,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+3,100,13.5,13.5,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Xtol,stock,200,7.5,7.5,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+1,200,8.25,8.25,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+2,200,11,11,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+3,200,13.5,13.5,,20C,Same time applies across ASA/ISO range
Fuji Neopan 400,Fuji Neopan 400,Xtol,stock,400,8.25,8.25,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+1,400,9.75,9.75,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+2,400,12.5,12.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+3,400,15.75,15.75,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,stock,800,9.75,9.75,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+1,800,11.5,11.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+2,800,14.5,14.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+3,800,18.5,18.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,stock,1600,11.5,11.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+1,1600,13.5,13.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+2,1600,17,17,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+3,1600,22.5,22.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,stock,3200,13.5,13.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+1,3200,16.5,16.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+2,3200,20.5,20.5,,20C,
Fuji Neopan 400,Fuji Neopan 400,Xtol,1+3,3200,26,26,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,510-Pyro,1+100,1600,8.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,ACU-1,1+5,1600,5.75,,,21C,
Fuji Neopan 1600,Fuji Neopan 1600,ACU-1,1+10,2400,14.5,,,21C,
Fuji Neopan 1600,Fuji Neopan 1600,Acufine,stock,1600,4,,,21C,
Fuji Neopan 1600,Fuji Neopan 1600,Amaloco AM74,1+7,1600,6,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Amaloco AM74,1+7,3200,7.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Atomal 49,stock,1600,8-10,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Bellini DF2 Duo Step,stock,2400,3+3,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Bellini Hydrofen,1+15,800,3,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Caffenol C,stock,1600,15,,,21C,
Fuji Neopan 1600,Fuji Neopan 1600,Caffenol C-L,stock,1600,60,,,20C,"Semi-stand development: continuous agitation 30-60 secs, then once every 5-10 mins"
Fuji Neopan 1600,Fuji Neopan 1600,Caffenol C-L,stock,3200,60,,,20C,"Semi-stand development: continuous agitation 30-60 secs, then once every 5-10 mins"
Fuji Neopan 1600,Fuji Neopan 1600,D-23,stock,100,8,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,D-76,stock,400,4,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,D-76,1+1,400,5.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,D-76,stock,800,5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,D-76,1+1,800,7,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,D-76,1+3,800,11.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,D-76,stock,1600,7.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,D-76,1+1,1600,9,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,D-76,1+3,1600,15.25,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,D-76,stock,3200,15,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Diafine,stock,2400,3+3,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,stock,200,4,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+1,200,5.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+2,200,7,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+3,200,9.25,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,stock,400,4.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+1,400,6,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+2,400,7.75,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+3,400,10.25,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,stock,800,5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+1,800,6.75,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+2,800,8.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+3,800,11.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,stock,1600,5.75,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+1,1600,7.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+2,1600,10,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+3,1600,13,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,2+5,1600,11.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,stock,3200,6.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+1,3200,8.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+2,3200,11.25,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+3,3200,14.75,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,stock,6400,7.25,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+1,6400,9.75,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+2,6400,13,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Eco Pro,1+3,6400,16.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Emofin,stock,1600,3.5+3.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,F76+,1+9,1600,8,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,FD10,1+9,1600,8,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,FD10,1+14,1600,14,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fomadon R09,1+25,1600,3.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fomadon R09,1+50,1600,8,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fuji Microfine,stock,250,5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fuji Microfine,1+1,250,6,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fuji Microfine,stock,400,6,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fuji Microfine,1+1,400,6.75,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fuji Microfine,1+3,400,10,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fuji Microfine,stock,800,8,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fuji Microfine,1+1,800,8.75,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Fuji Microfine,1+3,800,13,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,FX-19,stock,100,7,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,FX-37,1+3,1600,5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,FX-39,1+9,1600,5.5,,,20C,click here for alternate data
Fuji Neopan 1600,Fuji Neopan 1600,FX-55,1+9,1600,15.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,HC-110,H,200,5,,,20C,Dilution H is 1+63 from concentrate
Fuji Neopan 1600,Fuji Neopan 1600,HC-110,B,800,4.75,,,20C,Dilution B is 1+31 from concentrate
Fuji Neopan 1600,Fuji Neopan 1600,HC-110,B,1600,7,,,20C,Dilution B is 1+31 from concentrate
Fuji Neopan 1600,Fuji Neopan 1600,Hypercat,1+1+100,800,10,,,24C,"Dilution and time refer to the original Hypercat formulation. If you are using the current formula you can try multiplying the middle number in the dilution by x10, but results are not guaranteed."
Fuji Neopan 1600,Fuji Neopan 1600,ID-11,stock,400,4,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,ID-11,1+1,400,5.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,ID-11,stock,800,5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,ID-11,1+1,800,7,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,ID-11,1+3,800,11.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,ID-11,stock,1600,7.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,ID-11,1+1,1600,9,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,ID-11,1+3,1600,15.25,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,ID-11,stock,3200,15,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfosol 3,1+9,800,5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfosol 3,1+14,800,7,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfosol 3,1+9,1600,7.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfosol 3,1+14,1600,10,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD,stock,400,5,,,24C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD,stock,800,5.5,,,24C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD,stock,1600,6,,,24C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD,stock,3200,7,,,24C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD,stock,6400,8,,,24C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD,stock,12500,9,,,24C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD-X,1+9,320,5.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD-X,1+4,800,4.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD-X,1+4,1600,5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec DD-X,1+4,3200,9,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec HC,1+31,1600,7,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec LC29,1+19,1600,7,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Ilfotec LC29,1+29,1600,10,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Marathon,1+9,100,5.25,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Microdol-X,stock,400,6.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Microdol-X,stock,800,8.25,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Microdol-X,stock,1600,10.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Microphen,1+1,320,5.5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Microphen,stock,1600,3.25,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Microphen,stock,3200,5.75,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Microphen,stock,6400,8.5,,,24C,
Fuji Neopan 1600,Fuji Neopan 1600,Moersch eco,2+1+60,800,8.25,,,20C,"Agitation: continuous first min, then 5 secs per min."
Fuji Neopan 1600,Fuji Neopan 1600,Neofin Blue,stock,1600,12,,,20C,"Neofin Blue/Red stock is made by mixing the contents of the vial with water to make 500ml; these times are for the older version only (20ml,25ml or 30ml vials). The current version of Neofin Blue is packaged with 50ml vials and does not use the stock solution."
Fuji Neopan 1600,Fuji Neopan 1600,Neopress HC,1+15,1600,2,,,20C,For 0.55 gamma
Fuji Neopan 1600,Fuji Neopan 1600,Neopress HC,1+31,1600,2.5,,,20C,For 0.55 gamma
Fuji Neopan 1600,Fuji Neopan 1600,Neopress HC,1+31,1600,3.5,,,20C,For 0.70 gamma
Fuji Neopan 1600,Fuji Neopan 1600,Neopress HC,1+15,3200,3,,,20C,For 0.55 gamma
Fuji Neopan 1600,Fuji Neopan 1600,Neopress HC,1+15,6400,5,,,20C,For 0.55 gamma
Fuji Neopan 1600,Fuji Neopan 1600,Nucleol BF200,40+25+935,640,5,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Nucleol BF200,40+25+935,800,8,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Nucleol BF200,40+25+935,1600,9.5,,,24C,
Fuji Neopan 1600,Fuji Neopan 1600,Nucleol BF200,40+25+935,3200,13,,,24C,
Fuji Neopan 1600,Fuji Neopan 1600,Ornano Gradual ST20,1+9,500,9,,,20C,Times shown are for original Ornano formula. New version manufactured by Bellini Foto may benefit from shorter times than those listed.
Fuji Neopan 1600,Fuji Neopan 1600,Ornano Gradual ST20,1+9,640,7.25,,,24C,Times shown are for original Ornano formula. New version manufactured by Bellini Foto may benefit from shorter times than those listed.
Fuji Neopan 1600,Fuji Neopan 1600,Ornano Gradual ST20,1+9,800,12,,,20C,Times shown are for original Ornano formula. New version manufactured by Bellini Foto may benefit from shorter times than those listed.
Fuji Neopan 1600,Fuji Neopan 1600,Ornano Gradual ST20,1+9,1600,12,,,24C,Times shown are for original Ornano formula. New version manufactured by Bellini Foto may benefit from shorter times than those listed.
Fuji Neopan 1600,Fuji Neopan 1600,PMK,1+2+100,1600,12,,,20C,"Agitation: continuous first 30 secs, then 1 inversion every 15 secs."
Fuji Neopan 1600,Fuji Neopan 1600,Promicrol,1+9,2400,12,,,20C,Same time applies across ASA/ISO range
Fuji Neopan 1600,Fuji Neopan 1600,Promicrol,1+14,2400,19,,,20C,Same time applies across ASA/ISO range
Fuji Neopan 1600,Fuji Neopan 1600,Promicrol,1+9,3200,12,,,20C,Same time applies across ASA/ISO range
Fuji Neopan 1600,Fuji Neopan 1600,Promicrol,1+14,3200,19,,,20C,Same time applies across ASA/ISO range
Fuji Neopan 1600,Fuji Neopan 1600,Rodinal,1+25,200,3,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Rodinal,1+100,250,15,,,20C,
Fuji Neopan 1600,Fuji Neopan 1600,Rodinal,1+49,320,5,,,20C,
